,DISTRICT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
170,JHAJJAR,1501,1518,1272,1336,1343,1257,1560,1715,1797,2137,2062,2016,2028
171,JIND,1452,1325,1084,1008,1231,1634,1654,1767,2373,2435,2271,2323,2923
172,KAITHAL,1195,1121,1206,1226,1286,1554,1588,1522,1744,1668,1855,1724,1805
173,KARNAL,2383,2173,2215,2352,2990,3143,3095,3231,3351,3447,3202,3958,4302
174,KURUKSHETRA,1753,1856,1804,2050,2164,2500,2492,2413,2485,2536,2151,2294,2635
175,MAHENDRAGARH,1169,1303,1235,1233,1084,1853,1686,1724,1713,1835,2011,1772,1960
176,PANCHKULA,1054,1187,1419,1169,1200,1350,1264,1569,1554,1328,1472,1372,1790
177,PANIPAT,1895,2096,1863,1817,2138,2500,2368,2702,2812,2809,3192,3003,3299
178,REWARI,1214,1293,1417,1558,1753,2003,2318,2361,2125,2351,2404,2452,2703
179,ROHTAK,1856,1883,1764,1867,2003,2226,2306,2642,2838,3077,3294,2951,3103
180,SIRSA,1768,1778,1515,1531,1667,1847,1972,1958,1722,2007,2371,2268,2825
181,SONIPAT,1944,2046,1828,2051,2413,2940,2664,3383,3429,3475,2954,3465,3570
182,YAMUNANAGAR,1405,1300,1283,1331,1707,1809,1782,2073,2282,2020,2185,2144,2541
183,CHAMBA,555,677,585,627,580,592,780,761,711,663,678,557,694
185,HAMIRPUR,1031,861,365,646,631,533,435,450,472,518,638,848,1040
186,KANGRA,2035,1961,2015,2057,2023,2128,2211,2290,2486,2416,2709,2810,2884
187,KINNAUR,147,154,156,190,231,231,215,170,203,197,162,192,173
188,KULLU,630,743,747,790,870,836,1020,1096,961,808,934,719,1009
189,LAHAUL-SPITI,50,68,59,52,51,58,81,70,64,67,102,100,87
190,MANDI,1747,1775,1744,1735,1712,1892,2203,2144,1937,1788,1640,1733,1831
191,SHIMLA,1964,2008,1963,1992,2009,1997,2126,1941,1763,1790,2866,1530,1652
192,SIRMAUR,703,712,663,692,720,766,789,885,909,844,866,866,814
193,SOLAN,1130,1266,1332,1344,1236,1442,1620,1504,854,893,959,778,885
194,UNA,713,803,780,800,755,865,947,1102,994,1040,921,895,1076
195,ANANTNAG,1104,1358,1347,1473,1530,1511,1310,1224,1393,1299,1484,1431,1426
196,AWANTIPORA,316,309,356,384,410,334,377,367,472,480,509,372,332
197,BARAMULLA,1533,1476,1815,1815,1701,1666,1544,1247,1580,975,1116,1215,1457
198,BUDGAM,812,831,921,989,965,1153,1336,1404,1369,1352,1307,1234,1218
199,CRIME JAMMU,27,48,36,52,46,26,44,25,17,20,16,12,19
200,DODA,627,726,761,751,683,888,947,591,721,870,706,724,874
201,GANDERBAL,395,519,588,608,498,510,622,358,446,365,523,529,553
202,JAMMU,3607,3236,3370,3626,3085,3233,3342,3851,3746,3976,4118,4261,4547
203,KARGIL,82,71,83,97,93,107,88,107,104,136,114,107,108
204,KATHUA,817,968,1046,967,967,1106,1238,1057,1001,1061,1170,1254,1178
205,KULGAM,635,585,563,577,584,663,673,572,720,712,686,775,941
206,KUPWARA,1027,597,713,732,675,629,682,393,417,527,767,796,790
207,LEH,137,128,142,153,174,200,286,253,168,158,189,180,156
208,POONCH,766,625,727,586,641,719,761,787,758,950,822,839,806
209,PULWAMA,883,953,956,903,922,946,842,421,433,617,443,435,429
211,RAILWAYS,289,387,240,185,222,204,214,209,269,333,362,348,368
212,RAJOURI,965,1100,1303,1197,1168,1373,1560,1286,1210,1460,1832,1894,1814
213,RAMBAN,537,566,609,598,648,711,734,678,669,636,761,761,737
214,REASI,389,377,275,293,316,318,310,472,517,545,581,677,704
215,SRINAGAR,3042,3104,3109,2837,2883,2629,2620,2549,2960,2630,2756,2614,2792
216,UDHAMPUR,1010,1096,1213,1282,996,942,944,843,910,1032,1063,1082,1140
217,BOKARO,1936,2194,2154,2194,2411,2322,2751,2665,2476,2808,2973,3564,3634
218,CHAIBASA,669,730,735,730,1004,1032,1025,837,812,916,844,944,1061
219,CHATRA,748,840,1038,840,716,772,960,1030,858,923,925,1017,1062
220,DEOGHAR,1106,1283,1582,1283,1385,1780,1813,1475,1588,1702,1506,2000,2394
221,DHANBAD,2916,3201,3227,3201,3645,3707,3712,3579,3787,3835,3708,4606,4768
222,DHANBAD RLY.,360,408,363,408,103,300,281,235,310,336,384,380,409
223,DUMKA,1016,1008,967,1008,1571,1522,1569,1758,1519,1504,1562,1479,1817
224,GARHWA,788,869,985,869,964,1168,1016,1279,1321,1303,1865,2139,2688
225,GIRIDIH,1918,1955,2386,1955,2356,2689,2710,2819,2564,2580,2418,2871,4378
226,GODDA,1030,2203,2195,2203,1273,1231,1295,1863,1236,1464,1263,1765,1800
227,GUMLA,658,689,769,689,787,991,979,960,926,945,1036,933,929
228,HAZARIBAGH,2498,2621,2839,2621,3189,3034,2777,3021,2409,2238,2282,2427,2719
229,JAMSHEDPUR,2712,2755,2138,2755,3143,3192,3471,3212,3595,3574,3106,4022,4727
230,JAMSHEDPUR RLY.,148,201,235,201,400,291,265,194,282,248,251,207,219
231,JAMTARA,473,534,476,534,540,676,719,654,449,525,708,850,1255
232,KODERMA,667,785,751,785,816,769,785,825,987,927,1090,1135,1736
233,LATEHAR,380,456,519,456,459,543,569,540,658,455,513,527,698
234,LOHARDAGGA,311,432,448,432,615,567,620,563,472,513,622,451,584
235,PAKUR,483,584,526,584,719,731,756,796,693,731,721,933,1139
236,PALAMU,1461,1549,1603,1549,1718,1566,1597,2117,1888,2101,2033,2107,2228
237,RANCHI,1602,4306,4277,4306,5075,5302,4849,4805,5138,5862,2222,2396,2860
238,SAHEBGANJ,628,730,642,730,813,841,896,844,935,907,1128,1467,1938
239,SARAIKELA,692,824,973,824,1013,900,907,857,865,886,900,897,1057
240,SIMDEGA,247,282,375,282,460,438,432,378,312,368,396,456,513
241,BAGALKOT,1710,1915,1951,2038,2083,2062,2044,2048,2130,2189,2255,2297,2340
242,BANGALORE COMMR.,27254,29120,29260,28526,29042,26284,27049,29664,32380,32188,30283,29297,30318
243,BANGALORE RURAL,5209,7310,7409,8084,8200,8778,8577,4423,4384,4612,4915,5560,5663
244,BELGAUM,5053,4726,4494,4657,5680,6143,6778,7150,7315,7463,7393,6845,6594
245,BELLARY,3229,3088,3302,3850,4432,4112,3636,3264,3209,3414,3205,3112,3269
246,BIDAR,4371,4417,4069,4045,3589,3583,3639,3363,3594,3599,3471,3658,3963
247,BIJAPUR,2941,2762,4283,3109,3015,3162,3218,3125,3290,3259,3040,2783,2569
248,CHAMARAJNAGAR,1390,1327,1171,1627,1504,1300,1373,1518,1661,1937,1960,1733,1866
249,CHICKMAGALUR,2766,2796,3013,2823,2716,3369,2814,3101,2915,3165,2726,2498,2758
250,CHITRADURGA,2691,2986,3276,3672,3492,3531,3929,4191,4122,4752,4278,4059,3970
251,DAKSHIN KANNADA,3047,3429,3521,4133,4292,4037,3888,3974,4187,4196,1741,1836,2050
252,DAVANAGERE,3301,3106,2988,2950,2869,2812,2775,3009,3259,3059,2768,3271,3843
253,DHARWAD COMMR.,1902,2021,1793,1698,1818,2125,2053,2299,2040,2221,1856,1937,2443
254,DHARWAD RURAL,899,905,903,918,992,993,996,1087,1278,1487,1297,1313,1238
255,GADAG,899,928,842,947,1030,1138,1022,1175,1150,1107,1100,1083,1092
256,GULBARGA,4169,4003,4278,4684,4858,5093,4952,5622,5984,4799,4537,4101,4524
257,HASSAN,4039,4100,4196,4298,4120,4299,4531,4949,5142,6204,6071,5592,5433
258,HAVERI,2211,1955,1827,1970,1888,1839,2043,2322,2139,2245,2356,2333,2157
259,K.G.F.,906,1054,920,833,841,768,864,849,853,991,971,1007,822
260,KODAGU,1301,1365,1282,1459,1478,1341,1613,1730,1826,2199,1901,1550,1707
261,KOLAR,3230,3553,3213,3129,3125,3411,3746,2014,1859,1912,2053,2209,2275
262,KOPPAL,1406,1393,1135,1103,1589,1539,1640,1723,1916,1951,1858,1899,1732
263,MANDYA,4807,4745,3755,3380,3380,3924,4236,4747,5491,6626,6120,5914,5544
264,MYSORE COMMR.,1903,1762,1819,2159,2600,2696,2937,3086,3183,3407,3081,2826,2916
265,MYSORE RURAL,2900,2798,2374,2600,2649,2868,3195,3173,3486,4464,4383,4339,4116
266,RAICHUR,2384,2522,2334,2333,2609,2789,2873,2994,2907,3349,3491,3039,3062
267,SHIMOGA,4178,4165,3706,3749,4169,4403,4249,4790,5599,5839,5516,5034,5943
268,TUMKUR,4141,4180,4003,4251,4354,4271,4718,4813,4945,5101,5593,5567,4829
269,UDUPI,1959,2209,2170,2240,2237,2218,2389,2335,2406,2699,2578,2454,2667
270,UTTAR KANNADA,2319,2335,2306,2296,2323,2279,2341,2580,2603,2993,2976,2828,2977
271,ALAPUZHA,7319,7578,6975,7082,7622,7700,8161,8373,7654,7842,9927,8555,10198
272,IDUKKI,5421,4646,4252,4229,4500,4797,4921,4923,5150,8620,6196,5134,5101
273,KANNUR,5888,5024,4273,4621,5153,5461,5982,5901,6839,5850,7989,8400,6899
274,KASARGOD,3116,2770,2843,2669,2998,3062,4146,3585,3567,3238,3942,5174,5401
275,KOTTAYAM,7082,7316,6684,7919,7923,8186,7859,8008,7848,8151,8448,12355,12314
276,MALAPPURAM,7428,6532,5909,6777,6860,6527,7186,7419,6994,9196,13026,14385,17840
277,PALAKKAD,6516,6135,5465,5668,5496,5620,5461,5557,8024,10449,7721,8611,11848
278,PATHANAMTHITTA,4100,4468,4206,4409,4388,4433,4879,5343,5419,4971,5532,5327,6002
279,WAYANADU,2086,2069,2227,2395,2164,2321,2355,2503,2292,2760,4256,2890,3068
280,BALAGHAT,2925,3005,2895,3053,2924,2295,2290,2559,2388,2637,2447,2792,2871
281,BARWANI,2008,1787,2252,2255,2335,2392,2501,1907,1749,1913,1914,2026,2260
282,BETUL,2637,2902,3313,3018,3005,3291,3084,3241,3174,3177,3278,3080,3363
283,BHIND,3361,3665,3647,3802,3929,3856,2958,3171,3674,3211,3695,3920,4333
284,BHOPAL,13708,14217,14689,15718,10850,13016,14065,14718,15440,13711,15123,14320,13927
285,BHOPAL RLY.,1036,1315,1504,1673,1544,1417,1317,1327,1359,1138,1448,1429,1953
